22,Ulysses (Penguin Clothbound Classics),"Joyce, James",2022,Hardcover,Penguin,Unknown,New,30,Living Room,"Novel, Fiction",2,939,9780241552636,"Following the events of one single day in Dublin, the 16th of June 1904, and what happens to the characters Stephen Dedalus, Leopold Bloom and his wife Molly, Ulysses is a monument to the human condition. It has survived censorship, controversy and legal action, and even been deemed blasphemous, but remains an undisputed modernist classic: ceaselessly inventive, garrulous, funny, sorrowful, vulgar, lyrical and ultimately redemptive. It confirms Joyce's belief that literature 'is the eternal affirmation of the spirit of man'.",,covers/taco/919uafWeQiL._SL1500_.jpg,2
23,The Poems of Dylan Thomas,"Thomas, Dylan",2017,Hardcover,New Directions; Annotated edition,,New,20,Living Room,"Poetry, Collection, Drama",2,512,9780811221146,"The reputation of Dylan Thomas (1914-1953) as one of the greatest poets of the twentieth century has not waned in the fifty years since his death. A Welshman with a passion for the English language, Thomas’s singular poetic voice has been admired and imitated, but never matched.

This exciting, newly edited annotated edition offers a more complete and representative collection of Dylan Thomas’s poetic works than any previous edition. Edited by leading Dylan Thomas scholar John Goodby from the University of Swansea, The Poems of Dylan Thomas contains all the poems that appeared in Collected Poems 1934-1952, edited by Dylan Thomas himself, as well as poems from the 1930-1934 notebooks and poems from letters, amatory verses, occasional poems, the verse film script for “Our Country,” and poems that appear in his “radio play for voices,” Under Milk Wood. Showing the broad range of Dylan Thomas’s oeuvre as never before, this new edition places Thomas in the twenty-first century, with an up-to-date introduction by Goodby whose notes and annotations take a pluralistic approach.",,covers/taco/6107LoWRqLL._SL1200_.jpg,2
24,"Spiders of North America: An Identification Manual, Second Edition",Darrell Ubick,2017,Spiral-bound,American Arachnological Society,Nadine Dupérré,New,70,Living Room,"Science, Nature, Insects, Spiders",2.73,431,9780998014609,"The 2nd edition of this beautifully illustrated guide to the spiders of North America, north of Mexico, provides completely updated keys and information about this important part of North American fauna. This is an indispensable reference for anyone interested in spider diversity or identification. This updated edition provides more than 1,400 illustrations and keys to the genera in 71 spider families. Over 600 genera are included. Taxonomic changes since the publication of the 1st edition in 2005 are reflected in every chapter. The manual includes 76 chapters and a wealth of information including an introduction to spider morphology, natural history, collecting techniques and preservation methods; an overview of the current status and most recent developments in spider phylogeny and evolutionary history; a key to the families of spiders found in North America, north of Mexico; keys to the genera in each of these families; an etymological dictionary explaining the derivation of the names of spider genera and families; a well-illustrated glossary; a pronunciation guide to the names of common taxa; and a complete bibliography. This is the first completely revised version of the manual since its original publication in 2005. Note that this is not a photo-ID guide to spiders; it is intended to aid in accurate identification and to do this one must become familiar with some of the details of spider morphology/anatomy. To aid in this task, a guide to morphology used in classification is provided in the introduction. The information on spider biology and identification make this manual especially suitable for both amateur naturalists and professional arachnologists.",,covers/taco/91l2Y9AEDwL._SL1500_.jpg,2
25,Ulysses: An Illustrated Edition,James Joyce,2022,Hardcover,Other Press,Eduardo Arroyo,New,80,Living Room,"Illustration, Novel",7.3,720,9781635420265,"Now available for the first time in English, this unique edition of the classic novel features three hundred images created by Arroyo—vibrant, eclectic drawings, paintings, and collages that reflect and amplify the energy of Joyce’s writing.",,covers/taco/newjoyceillustrated.png,2
26,Wasted: When Trash Becomes Treasure,Katie Treggiden,2020,Hardcover,Ludion Publishers,,New,80,Living Room,Design,2.5,240,9789493039384,"We live in the age of the Anthropocene: human activity is the dominant force affecting the climate and man-made and organic materials are becoming irreversibly intertwined. As natural resources dwindle, designers are exploring the potential of increasingly plentiful waste streams to become the raw materials of the future. A new book celebrates 30 optimistic and enterprizing designers, makers and manufacturers who use waste as their primary resource, offering a rare glimpse into the world they inhabit. Accompanying these profiles, six in-depth and thematic essays explore the societal, cultural and environmental implications of their work.Contents: Introduction;Fashion Waste;Food Waste;Industrial Waste;Plastic Waste;Domestic Waste;Bibliography.",,covers/taco/51cVH-izyCL._SL1200_.jpg,2
27,Ray Gun: The Bible of Music and Style,Marvin Scott Jarrett,2019,Hardcover,Rizzoli,Various,New,90,Living Room,"Anthology, Music, Culture, Design",2.3,256,9780847863150,"Founded in 1992, Ray Gun was the only magazine wherein a die-hard culture seeker could find information on alternative music and the street-inspired style that really mattered. Punk rock had torn pop music to shreds and created a hunger for an original lifestyle beyond mainstream culture, and Ray Gun was its graphic chronicler: across its pages blasted a visual feast made up of era-defining artists such as Sonic Youth or Iggy Pop, music-inspired art, and a complete redefinition of sartorial style. The magazine’s original art director, David Carson, and his peers who followed, created an entirely new visual culture that shattered the limitations of graphic design.",,covers/taco/616nwruK62L._SL1500_.jpg,2
30,Atlas of Furniture Design,Mateo Kries,2019,,Vitra Design Museum,Various,New,150,Living Room,"Design, Product Design, Design History",2.3,1028,9783931936990,"At 1,028 pages, featuring 1,740 objects and spanning 237 years, this authoritative volume is without doubt the ultimate book on furniture design",,covers/taco/61j4EwywMkL._SL1351_.jpg,2
31,Jean Jullien,Jean Jullien,2022,Hardcover,Phaidon,Jean Jullien,New,40,Living Room,"Illustration, Monograph",2.3,256,9781838663193,"Jean Jullien’s work is instantly recognizable and wide in its scope. Known for his astutely observed and witty depictions of everyday life, his illustrations place expressive characters in relatable environments and act as a visual commentary on life. Organized in three sections – Personal, Collaboration, and Public – this fulsome book explores Jullien’s approach to art and covers his expansive career, from his earliest creative partnerships to his progression into painting, while also offering a first-hand look at his process with sketches and never-before-seen works. Unique and comprehensive in its scope, this is a must-have book for every fan of Jullien's work.",,covers/taco/91qZgoeGKyL._SL1500_.jpg,2
32,Lygia Pape: Tecelares,Mark Pascale,2023,Hardcover,Art Institute of Chicago,Lygia Pape,New,50,Living Room,"Art, Fine-Art, Monograph",2.4,176,9780300269734,"One of Brazil’s best-known contemporary artists, Lygia Pape (1927–2004) was a founding member of the Neo-Concrete movement in the late 1950s along with artists such as Lygia Clark and Hélio Oiticica. Pape explored new visual languages in painting, performance, printmaking, and sculpture, and her work—much of it based in geometry—invited viewers to participate in the existential, sensorial, and psychological experience of her art.",,covers/taco/51Dq8StMwNL._SL1000_.jpg,2
33,Thinking of You. I Mean Me. I Mean You,Barbara Kruger,2021,Hardcover,DelMonico Books/Los Angeles County Museum of Art,Barbara Kruger,Like New,40,Living Room,"Biography, Art, Fine-Art",2.8,207,9781942884774,"Since the mid-1970s, Barbara Kruger (born 1945) has been interrogating the hierarchies of power and control in works that often combine visual and written language. In her singular graphic style, Kruger probes aspects of identity, desire and consumerism that are embedded in our everyday lives. This volume traces her continuously evolving practice to reveal how she adapts her work in accordance with the moment, site and context. The book features a range of striking images―from her analogue paste-ups of the 1980s to digital productions of the last two decades, including new works produced on the occasion of the exhibition. Also featured are singular works in vinyl, her large-scale room wraps, multichannel videos, site-specific installations and commissioned works.",,covers/taco/61hnzwVtIL._SL1000_.jpg,2
